"year";"n.plots";"plots";"richness"
"2018";"4";"1_2_7_9";13
"2019";"4";"1_2_7_9";18
"2015";"4";"1_2_8_9";18
"2016";"4";"1_2_8_9";18
"2017";"4";"1_2_8_9";16
"2018";"4";"1_2_8_9";13
"2019";"4";"1_2_8_9";18
"2015";"4";"1_3_4_5";19
"2016";"4";"1_3_4_5";14
"2017";"4";"1_3_4_5";16
"2018";"4";"1_3_4_5";11
"2019";"4";"1_3_4_5";15
"2015";"4";"1_3_4_6";19
"2016";"4";"1_3_4_6";15
"2017";"4";"1_3_4_6";16
"2018";"4";"1_3_4_6";11
"2019";"4";"1_3_4_6";13
"2015";"4";"1_3_4_7";19
"2016";"4";"1_3_4_7";18
"2017";"4";"1_3_4_7";16
"2018";"4";"1_3_4_7";11
"2019";"4";"1_3_4_7";17
"2015";"4";"1_3_4_8";19
"2016";"4";"1_3_4_8";18
"2017";"4";"1_3_4_8";16
"2018";"4";"1_3_4_8";11
"2019";"4";"1_3_4_8";16
"2015";"4";"1_3_4_9";19
"2016";"4";"1_3_4_9";18
"2017";"4";"1_3_4_9";16
"2018";"4";"1_3_4_9";11
"2019";"4";"1_3_4_9";16
"2015";"4";"1_3_5_6";17
"2016";"4";"1_3_5_6";15
"2017";"4";"1_3_5_6";16
"2018";"4";"1_3_5_6";9
"2019";"4";"1_3_5_6";14
"2015";"4";"1_3_5_7";18
"2016";"4";"1_3_5_7";18
"2017";"4";"1_3_5_7";16
"2018";"4";"1_3_5_7";9
"2019";"4";"1_3_5_7";17
"2015";"4";"1_3_5_8";18
"2016";"4";"1_3_5_8";18
"2017";"4";"1_3_5_8";16
"2018";"4";"1_3_5_8";9
"2019";"4";"1_3_5_8";16
"2015";"4";"1_3_5_9";18
"2016";"4";"1_3_5_9";18
"2017";"4";"1_3_5_9";16
"2018";"4";"1_3_5_9";9
"2019";"4";"1_3_5_9";16
"2015";"4";"1_3_6_7";18
"2016";"4";"1_3_6_7";18
"2017";"4";"1_3_6_7";16
"2018";"4";"1_3_6_7";9
"2019";"4";"1_3_6_7";17
"2015";"4";"1_3_6_8";18
"2016";"4";"1_3_6_8";18
"2017";"4";"1_3_6_8";16
"2018";"4";"1_3_6_8";9
"2019";"4";"1_3_6_8";16
"2015";"4";"1_3_6_9";18
"2016";"4";"1_3_6_9";18
"2017";"4";"1_3_6_9";16
"2018";"4";"1_3_6_9";9
"2019";"4";"1_3_6_9";16
"2015";"4";"1_3_7_8";18
"2016";"4";"1_3_7_8";17
"2017";"4";"1_3_7_8";15
"2018";"4";"1_3_7_8";9
"2019";"4";"1_3_7_8";17
"2015";"4";"1_3_7_9";18
"2016";"4";"1_3_7_9";18
"2017";"4";"1_3_7_9";15
"2018";"4";"1_3_7_9";9
"2019";"4";"1_3_7_9";18
"2015";"4";"1_3_8_9";18
"2016";"4";"1_3_8_9";18
"2017";"4";"1_3_8_9";15
"2018";"4";"1_3_8_9";9
"2019";"4";"1_3_8_9";17
"2015";"4";"1_4_5_6";19
"2016";"4";"1_4_5_6";15
"2017";"4";"1_4_5_6";16
"2018";"4";"1_4_5_6";10
"2019";"4";"1_4_5_6";15
"2015";"4";"1_4_5_7";19
"2016";"4";"1_4_5_7";18
"2017";"4";"1_4_5_7";16
"2018";"4";"1_4_5_7";10
"2019";"4";"1_4_5_7";17
"2015";"4";"1_4_5_8";19
"2016";"4";"1_4_5_8";18
"2017";"4";"1_4_5_8";16
"2018";"4";"1_4_5_8";10
"2019";"4";"1_4_5_8";16
"2015";"4";"1_4_5_9";19
"2016";"4";"1_4_5_9";18
"2017";"4";"1_4_5_9";16
"2018";"4";"1_4_5_9";10
"2019";"4";"1_4_5_9";17
"2015";"4";"1_4_6_7";19
"2016";"4";"1_4_6_7";18
"2017";"4";"1_4_6_7";16
"2018";"4";"1_4_6_7";10
"2019";"4";"1_4_6_7";17
"2015";"4";"1_4_6_8";19
"2016";"4";"1_4_6_8";18
"2017";"4";"1_4_6_8";16
"2018";"4";"1_4_6_8";10
"2019";"4";"1_4_6_8";16
"2015";"4";"1_4_6_9";19
"2016";"4";"1_4_6_9";18
"2017";"4";"1_4_6_9";16
"2018";"4";"1_4_6_9";10
"2019";"4";"1_4_6_9";16
"2015";"4";"1_4_7_8";19
"2016";"4";"1_4_7_8";18
"2017";"4";"1_4_7_8";16
"2018";"4";"1_4_7_8";10
"2019";"4";"1_4_7_8";17
"2015";"4";"1_4_7_9";19
"2016";"4";"1_4_7_9";19
"2017";"4";"1_4_7_9";16
"2018";"4";"1_4_7_9";10
"2019";"4";"1_4_7_9";18
"2015";"4";"1_4_8_9";19
"2016";"4";"1_4_8_9";19
"2017";"4";"1_4_8_9";16
"2018";"4";"1_4_8_9";10
"2019";"4";"1_4_8_9";17
"2015";"4";"1_5_6_7";18
"2016";"4";"1_5_6_7";17
"2017";"4";"1_5_6_7";16
"2018";"4";"1_5_6_7";8
"2019";"4";"1_5_6_7";17
"2015";"4";"1_5_6_8";18
"2016";"4";"1_5_6_8";17
"2017";"4";"1_5_6_8";16
"2018";"4";"1_5_6_8";8
"2019";"4";"1_5_6_8";16
"2015";"4";"1_5_6_9";18
"2016";"4";"1_5_6_9";17
"2017";"4";"1_5_6_9";16
"2018";"4";"1_5_6_9";8
"2019";"4";"1_5_6_9";16
"2015";"4";"1_5_7_8";18
"2016";"4";"1_5_7_8";17
"2017";"4";"1_5_7_8";16
"2018";"4";"1_5_7_8";8
"2019";"4";"1_5_7_8";17
"2015";"4";"1_5_7_9";18
"2016";"4";"1_5_7_9";18
"2017";"4";"1_5_7_9";16
"2018";"4";"1_5_7_9";8
"2019";"4";"1_5_7_9";18
"2015";"4";"1_5_8_9";18
"2016";"4";"1_5_8_9";18
"2017";"4";"1_5_8_9";16
"2018";"4";"1_5_8_9";8
"2019";"4";"1_5_8_9";17
"2015";"4";"1_6_7_8";18
"2016";"4";"1_6_7_8";17
"2017";"4";"1_6_7_8";16
"2018";"4";"1_6_7_8";8
"2019";"4";"1_6_7_8";17
"2015";"4";"1_6_7_9";18
"2016";"4";"1_6_7_9";18
"2017";"4";"1_6_7_9";16
"2018";"4";"1_6_7_9";8
"2019";"4";"1_6_7_9";18
"2015";"4";"1_6_8_9";18
"2016";"4";"1_6_8_9";18
"2017";"4";"1_6_8_9";16
"2018";"4";"1_6_8_9";8
"2019";"4";"1_6_8_9";17
"2015";"4";"1_7_8_9";18
"2016";"4";"1_7_8_9";17
"2017";"4";"1_7_8_9";15
"2018";"4";"1_7_8_9";8
"2019";"4";"1_7_8_9";18
"2015";"4";"2_3_4_5";19
"2016";"4";"2_3_4_5";14
"2017";"4";"2_3_4_5";17
"2018";"4";"2_3_4_5";16
"2019";"4";"2_3_4_5";16
"2015";"4";"2_3_4_6";19
"2016";"4";"2_3_4_6";15
"2017";"4";"2_3_4_6";17
"2018";"4";"2_3_4_6";16
"2019";"4";"2_3_4_6";16
"2015";"4";"2_3_4_7";19
"2016";"4";"2_3_4_7";18
"2017";"4";"2_3_4_7";17
"2018";"4";"2_3_4_7";16
"2019";"4";"2_3_4_7";17
"2015";"4";"2_3_4_8";19
"2016";"4";"2_3_4_8";18
"2017";"4";"2_3_4_8";17
"2018";"4";"2_3_4_8";16
"2019";"4";"2_3_4_8";17
"2015";"4";"2_3_4_9";19
"2016";"4";"2_3_4_9";18
"2017";"4";"2_3_4_9";17
"2018";"4";"2_3_4_9";16
"2019";"4";"2_3_4_9";18
"2015";"4";"2_3_5_6";17
"2016";"4";"2_3_5_6";15
"2017";"4";"2_3_5_6";17
"2018";"4";"2_3_5_6";14
"2019";"4";"2_3_5_6";16
"2015";"4";"2_3_5_7";18
"2016";"4";"2_3_5_7";18
"2017";"4";"2_3_5_7";17
"2018";"4";"2_3_5_7";14
"2019";"4";"2_3_5_7";17
"2015";"4";"2_3_5_8";18
"2016";"4";"2_3_5_8";18
"2017";"4";"2_3_5_8";17
"2018";"4";"2_3_5_8";14
"2019";"4";"2_3_5_8";17
"2015";"4";"2_3_5_9";18
"2016";"4";"2_3_5_9";18
"2017";"4";"2_3_5_9";17
"2018";"4";"2_3_5_9";14
"2019";"4";"2_3_5_9";17
"2015";"4";"2_3_6_7";18
"2016";"4";"2_3_6_7";18
"2017";"4";"2_3_6_7";17
"2018";"4";"2_3_6_7";14
"2019";"4";"2_3_6_7";17
"2015";"4";"2_3_6_8";18
"2016";"4";"2_3_6_8";18
"2017";"4";"2_3_6_8";17
"2018";"4";"2_3_6_8";14
"2019";"4";"2_3_6_8";17
"2015";"4";"2_3_6_9";18
"2016";"4";"2_3_6_9";18
"2017";"4";"2_3_6_9";17
"2018";"4";"2_3_6_9";14
"2019";"4";"2_3_6_9";18
"2015";"4";"2_3_7_8";18
"2016";"4";"2_3_7_8";17
"2017";"4";"2_3_7_8";16
"2018";"4";"2_3_7_8";14
"2019";"4";"2_3_7_8";17
"2015";"4";"2_3_7_9";18
"2016";"4";"2_3_7_9";18
"2017";"4";"2_3_7_9";16
"2018";"4";"2_3_7_9";14
"2019";"4";"2_3_7_9";18
"2015";"4";"2_3_8_9";18
"2016";"4";"2_3_8_9";18
"2017";"4";"2_3_8_9";16
"2018";"4";"2_3_8_9";14
"2019";"4";"2_3_8_9";18
"2015";"4";"2_4_5_6";19
"2016";"4";"2_4_5_6";15
"2017";"4";"2_4_5_6";17
"2018";"4";"2_4_5_6";15
"2019";"4";"2_4_5_6";16
"2015";"4";"2_4_5_7";19
"2016";"4";"2_4_5_7";18
"2017";"4";"2_4_5_7";17
"2018";"4";"2_4_5_7";15
"2019";"4";"2_4_5_7";17
"2015";"4";"2_4_5_8";19
"2016";"4";"2_4_5_8";18
"2017";"4";"2_4_5_8";17
"2018";"4";"2_4_5_8";15
"2019";"4";"2_4_5_8";17
"2015";"4";"2_4_5_9";19
"2016";"4";"2_4_5_9";18
"2017";"4";"2_4_5_9";17
"2018";"4";"2_4_5_9";15
"2019";"4";"2_4_5_9";18
"2015";"4";"2_4_6_7";19
"2016";"4";"2_4_6_7";18
"2017";"4";"2_4_6_7";17
"2018";"4";"2_4_6_7";15
"2019";"4";"2_4_6_7";17
"2015";"4";"2_4_6_8";19
"2016";"4";"2_4_6_8";18
"2017";"4";"2_4_6_8";17
"2018";"4";"2_4_6_8";15
"2019";"4";"2_4_6_8";17
"2015";"4";"2_4_6_9";19
"2016";"4";"2_4_6_9";18
"2017";"4";"2_4_6_9";17
"2018";"4";"2_4_6_9";15
"2019";"4";"2_4_6_9";18
"2015";"4";"2_4_7_8";19
"2016";"4";"2_4_7_8";18
"2017";"4";"2_4_7_8";17
"2018";"4";"2_4_7_8";15
"2019";"4";"2_4_7_8";17
"2015";"4";"2_4_7_9";19
"2016";"4";"2_4_7_9";19
"2017";"4";"2_4_7_9";17
"2018";"4";"2_4_7_9";15
"2019";"4";"2_4_7_9";18
"2015";"4";"2_4_8_9";19
"2016";"4";"2_4_8_9";19
"2017";"4";"2_4_8_9";17
"2018";"4";"2_4_8_9";15
"2019";"4";"2_4_8_9";18
"2015";"4";"2_5_6_7";18
"2016";"4";"2_5_6_7";18
"2017";"4";"2_5_6_7";17
"2018";"4";"2_5_6_7";13
"2019";"4";"2_5_6_7";17
"2015";"4";"2_5_6_8";18
"2016";"4";"2_5_6_8";18
"2017";"4";"2_5_6_8";17
"2018";"4";"2_5_6_8";13
"2019";"4";"2_5_6_8";17
"2015";"4";"2_5_6_9";18
"2016";"4";"2_5_6_9";18
"2017";"4";"2_5_6_9";17
"2018";"4";"2_5_6_9";13
"2019";"4";"2_5_6_9";18
"2015";"4";"2_5_7_8";18
"2016";"4";"2_5_7_8";18
"2017";"4";"2_5_7_8";17
"2018";"4";"2_5_7_8";13
"2019";"4";"2_5_7_8";17
"2015";"4";"2_5_7_9";18
"2016";"4";"2_5_7_9";19
"2017";"4";"2_5_7_9";17
"2018";"4";"2_5_7_9";13
"2019";"4";"2_5_7_9";18
"2015";"4";"2_5_8_9";18
"2016";"4";"2_5_8_9";19
"2017";"4";"2_5_8_9";17
"2018";"4";"2_5_8_9";13
"2019";"4";"2_5_8_9";18
"2015";"4";"2_6_7_8";18
"2016";"4";"2_6_7_8";18
"2017";"4";"2_6_7_8";17
"2018";"4";"2_6_7_8";13
"2019";"4";"2_6_7_8";17
"2015";"4";"2_6_7_9";18
"2016";"4";"2_6_7_9";19
"2017";"4";"2_6_7_9";17
"2018";"4";"2_6_7_9";13
"2019";"4";"2_6_7_9";18
"2015";"4";"2_6_8_9";18
"2016";"4";"2_6_8_9";19
"2017";"4";"2_6_8_9";17
"2018";"4";"2_6_8_9";13
"2019";"4";"2_6_8_9";18
"2015";"4";"2_7_8_9";18
"2016";"4";"2_7_8_9";18
"2017";"4";"2_7_8_9";15
"2018";"4";"2_7_8_9";13
"2019";"4";"2_7_8_9";18
"2015";"4";"3_4_5_6";19
"2016";"4";"3_4_5_6";15
"2017";"4";"3_4_5_6";16
"2018";"4";"3_4_5_6";11
"2019";"4";"3_4_5_6";15
"2015";"4";"3_4_5_7";19
"2016";"4";"3_4_5_7";18
"2017";"4";"3_4_5_7";16
"2018";"4";"3_4_5_7";11
"2019";"4";"3_4_5_7";17
"2015";"4";"3_4_5_8";19
"2016";"4";"3_4_5_8";18
"2017";"4";"3_4_5_8";16
"2018";"4";"3_4_5_8";11
"2019";"4";"3_4_5_8";16
"2015";"4";"3_4_5_9";19
"2016";"4";"3_4_5_9";18
"2017";"4";"3_4_5_9";16
"2018";"4";"3_4_5_9";11
"2019";"4";"3_4_5_9";17
"2015";"4";"3_4_6_7";19
"2016";"4";"3_4_6_7";18
"2017";"4";"3_4_6_7";16
"2018";"4";"3_4_6_7";11
"2019";"4";"3_4_6_7";16
"2015";"4";"3_4_6_8";19
"2016";"4";"3_4_6_8";18
"2017";"4";"3_4_6_8";16
"2018";"4";"3_4_6_8";11
"2019";"4";"3_4_6_8";15
"2015";"4";"3_4_6_9";19
"2016";"4";"3_4_6_9";18
"2017";"4";"3_4_6_9";16
"2018";"4";"3_4_6_9";11
"2019";"4";"3_4_6_9";15
"2015";"4";"3_4_7_8";19
"2016";"4";"3_4_7_8";18
"2017";"4";"3_4_7_8";16
"2018";"4";"3_4_7_8";11
"2019";"4";"3_4_7_8";16
"2015";"4";"3_4_7_9";19
"2016";"4";"3_4_7_9";19
"2017";"4";"3_4_7_9";16
"2018";"4";"3_4_7_9";11
"2019";"4";"3_4_7_9";17
"2015";"4";"3_4_8_9";19
"2016";"4";"3_4_8_9";19
"2017";"4";"3_4_8_9";16
"2018";"4";"3_4_8_9";11
"2019";"4";"3_4_8_9";16
"2015";"4";"3_5_6_7";18
"2016";"4";"3_5_6_7";18
"2017";"4";"3_5_6_7";16
"2018";"4";"3_5_6_7";9
"2019";"4";"3_5_6_7";17
"2015";"4";"3_5_6_8";18
"2016";"4";"3_5_6_8";18
"2017";"4";"3_5_6_8";16
"2018";"4";"3_5_6_8";9
"2019";"4";"3_5_6_8";16
"2015";"4";"3_5_6_9";18
"2016";"4";"3_5_6_9";18
"2017";"4";"3_5_6_9";16
"2018";"4";"3_5_6_9";9
"2019";"4";"3_5_6_9";17
"2015";"4";"3_5_7_8";18
"2016";"4";"3_5_7_8";18
"2017";"4";"3_5_7_8";16
"2018";"4";"3_5_7_8";9
"2019";"4";"3_5_7_8";17
"2015";"4";"3_5_7_9";18
"2016";"4";"3_5_7_9";19
"2017";"4";"3_5_7_9";16
"2018";"4";"3_5_7_9";9
"2019";"4";"3_5_7_9";18
"2015";"4";"3_5_8_9";18
"2016";"4";"3_5_8_9";19
"2017";"4";"3_5_8_9";16
"2018";"4";"3_5_8_9";9
"2019";"4";"3_5_8_9";17
"2015";"4";"3_6_7_8";18
"2016";"4";"3_6_7_8";18
"2017";"4";"3_6_7_8";16
"2018";"4";"3_6_7_8";9
"2019";"4";"3_6_7_8";16
"2015";"4";"3_6_7_9";18
"2016";"4";"3_6_7_9";19
"2017";"4";"3_6_7_9";16
"2018";"4";"3_6_7_9";9
"2019";"4";"3_6_7_9";17
"2015";"4";"3_6_8_9";18
"2016";"4";"3_6_8_9";19
"2017";"4";"3_6_8_9";16
"2018";"4";"3_6_8_9";9
"2019";"4";"3_6_8_9";16
"2015";"4";"3_7_8_9";15
"2016";"4";"3_7_8_9";18
"2017";"4";"3_7_8_9";15
"2018";"4";"3_7_8_9";9
"2019";"4";"3_7_8_9";17
"2015";"4";"4_5_6_7";19
"2016";"4";"4_5_6_7";18
"2017";"4";"4_5_6_7";13
"2018";"4";"4_5_6_7";8
"2019";"4";"4_5_6_7";17
"2015";"4";"4_5_6_8";19
"2016";"4";"4_5_6_8";18
"2017";"4";"4_5_6_8";13
"2018";"4";"4_5_6_8";8
"2019";"4";"4_5_6_8";16
"2015";"4";"4_5_6_9";19
"2016";"4";"4_5_6_9";18
"2017";"4";"4_5_6_9";13
"2018";"4";"4_5_6_9";8
"2019";"4";"4_5_6_9";17
"2015";"4";"4_5_7_8";19
"2016";"4";"4_5_7_8";18
"2017";"4";"4_5_7_8";13
"2018";"4";"4_5_7_8";8
"2019";"4";"4_5_7_8";17
"2015";"4";"4_5_7_9";19
"2016";"4";"4_5_7_9";19
"2017";"4";"4_5_7_9";13
"2018";"4";"4_5_7_9";8
"2019";"4";"4_5_7_9";18
"2015";"4";"4_5_8_9";19
"2016";"4";"4_5_8_9";19
"2017";"4";"4_5_8_9";13
"2018";"4";"4_5_8_9";8
"2019";"4";"4_5_8_9";17
"2015";"4";"4_6_7_8";19
"2016";"4";"4_6_7_8";18
"2017";"4";"4_6_7_8";12
"2018";"4";"4_6_7_8";8
"2019";"4";"4_6_7_8";16
"2015";"4";"4_6_7_9";19
"2016";"4";"4_6_7_9";19
"2017";"4";"4_6_7_9";12
"2018";"4";"4_6_7_9";8
"2019";"4";"4_6_7_9";17
"2015";"4";"4_6_8_9";19
"2016";"4";"4_6_8_9";19
"2017";"4";"4_6_8_9";12
"2018";"4";"4_6_8_9";8
"2019";"4";"4_6_8_9";16
"2015";"4";"4_7_8_9";19
"2016";"4";"4_7_8_9";19
"2017";"4";"4_7_8_9";12
"2018";"4";"4_7_8_9";8
"2019";"4";"4_7_8_9";17
"2015";"4";"5_6_7_8";18
"2016";"4";"5_6_7_8";17
"2017";"4";"5_6_7_8";12
"2018";"4";"5_6_7_8";6
"2019";"4";"5_6_7_8";17
"2015";"4";"5_6_7_9";18
"2016";"4";"5_6_7_9";18
"2017";"4";"5_6_7_9";12
"2018";"4";"5_6_7_9";6
"2019";"4";"5_6_7_9";18
"2015";"4";"5_6_8_9";18
"2016";"4";"5_6_8_9";18
"2017";"4";"5_6_8_9";12
"2018";"4";"5_6_8_9";6
"2019";"4";"5_6_8_9";17
"2015";"4";"5_7_8_9";18
"2016";"4";"5_7_8_9";18
"2017";"4";"5_7_8_9";12
"2018";"4";"5_7_8_9";5
"2019";"4";"5_7_8_9";18
"2015";"4";"6_7_8_9";18
"2016";"4";"6_7_8_9";18
"2017";"4";"6_7_8_9";11
"2018";"4";"6_7_8_9";5
"2019";"4";"6_7_8_9";17
"2015";"5";"1_2_3_4_5";19
"2016";"5";"1_2_3_4_5";14
"2017";"5";"1_2_3_4_5";17
"2018";"5";"1_2_3_4_5";16
"2019";"5";"1_2_3_4_5";16
"2015";"5";"1_2_3_4_6";19
"2016";"5";"1_2_3_4_6";15
"2017";"5";"1_2_3_4_6";17
"2018";"5";"1_2_3_4_6";16
"2019";"5";"1_2_3_4_6";16
"2015";"5";"1_2_3_4_7";19
"2016";"5";"1_2_3_4_7";18
"2017";"5";"1_2_3_4_7";17
"2018";"5";"1_2_3_4_7";16
"2019";"5";"1_2_3_4_7";17
"2015";"5";"1_2_3_4_8";19
"2016";"5";"1_2_3_4_8";18
"2017";"5";"1_2_3_4_8";17
"2018";"5";"1_2_3_4_8";16
"2019";"5";"1_2_3_4_8";17
"2015";"5";"1_2_3_4_9";19
"2016";"5";"1_2_3_4_9";18
"2017";"5";"1_2_3_4_9";17
"2018";"5";"1_2_3_4_9";16
"2019";"5";"1_2_3_4_9";18
"2015";"5";"1_2_3_5_6";17
"2016";"5";"1_2_3_5_6";15
"2017";"5";"1_2_3_5_6";17
"2018";"5";"1_2_3_5_6";14
"2019";"5";"1_2_3_5_6";16
"2015";"5";"1_2_3_5_7";18
"2016";"5";"1_2_3_5_7";18
"2017";"5";"1_2_3_5_7";17
"2018";"5";"1_2_3_5_7";14
"2019";"5";"1_2_3_5_7";17
"2015";"5";"1_2_3_5_8";18
"2016";"5";"1_2_3_5_8";18
"2017";"5";"1_2_3_5_8";17
"2018";"5";"1_2_3_5_8";14
"2019";"5";"1_2_3_5_8";17
"2015";"5";"1_2_3_5_9";18
"2016";"5";"1_2_3_5_9";18
"2017";"5";"1_2_3_5_9";17
"2018";"5";"1_2_3_5_9";14
"2019";"5";"1_2_3_5_9";17
"2015";"5";"1_2_3_6_7";18
"2016";"5";"1_2_3_6_7";18
"2017";"5";"1_2_3_6_7";17
"2018";"5";"1_2_3_6_7";14
"2019";"5";"1_2_3_6_7";17
"2015";"5";"1_2_3_6_8";18
"2016";"5";"1_2_3_6_8";18
"2017";"5";"1_2_3_6_8";17
"2018";"5";"1_2_3_6_8";14
"2019";"5";"1_2_3_6_8";17
"2015";"5";"1_2_3_6_9";18
"2016";"5";"1_2_3_6_9";18
"2017";"5";"1_2_3_6_9";17
"2018";"5";"1_2_3_6_9";14
"2019";"5";"1_2_3_6_9";18
"2015";"5";"1_2_3_7_8";18
"2016";"5";"1_2_3_7_8";17
"2017";"5";"1_2_3_7_8";16
"2018";"5";"1_2_3_7_8";14
"2019";"5";"1_2_3_7_8";17
"2015";"5";"1_2_3_7_9";18
"2016";"5";"1_2_3_7_9";18
"2017";"5";"1_2_3_7_9";16
"2018";"5";"1_2_3_7_9";14
"2019";"5";"1_2_3_7_9";18
"2015";"5";"1_2_3_8_9";18
"2016";"5";"1_2_3_8_9";18
"2017";"5";"1_2_3_8_9";16
"2018";"5";"1_2_3_8_9";14
"2019";"5";"1_2_3_8_9";18
"2015";"5";"1_2_4_5_6";19
"2016";"5";"1_2_4_5_6";15
"2017";"5";"1_2_4_5_6";17
"2018";"5";"1_2_4_5_6";15
"2019";"5";"1_2_4_5_6";16
"2015";"5";"1_2_4_5_7";19
"2016";"5";"1_2_4_5_7";18
"2017";"5";"1_2_4_5_7";17
"2018";"5";"1_2_4_5_7";15
"2019";"5";"1_2_4_5_7";17
"2015";"5";"1_2_4_5_8";19
"2016";"5";"1_2_4_5_8";18
"2017";"5";"1_2_4_5_8";17
"2018";"5";"1_2_4_5_8";15
"2019";"5";"1_2_4_5_8";17
"2015";"5";"1_2_4_5_9";19
"2016";"5";"1_2_4_5_9";18
"2017";"5";"1_2_4_5_9";17
"2018";"5";"1_2_4_5_9";15
"2019";"5";"1_2_4_5_9";18
"2015";"5";"1_2_4_6_7";19
"2016";"5";"1_2_4_6_7";18
"2017";"5";"1_2_4_6_7";17
"2018";"5";"1_2_4_6_7";15
"2019";"5";"1_2_4_6_7";17
"2015";"5";"1_2_4_6_8";19
"2016";"5";"1_2_4_6_8";18
"2017";"5";"1_2_4_6_8";17
"2018";"5";"1_2_4_6_8";15
"2019";"5";"1_2_4_6_8";17
"2015";"5";"1_2_4_6_9";19
"2016";"5";"1_2_4_6_9";18
"2017";"5";"1_2_4_6_9";17
"2018";"5";"1_2_4_6_9";15
"2019";"5";"1_2_4_6_9";18
"2015";"5";"1_2_4_7_8";19
"2016";"5";"1_2_4_7_8";18
"2017";"5";"1_2_4_7_8";17
"2018";"5";"1_2_4_7_8";15
"2019";"5";"1_2_4_7_8";17
"2015";"5";"1_2_4_7_9";19
"2016";"5";"1_2_4_7_9";19
"2017";"5";"1_2_4_7_9";17
"2018";"5";"1_2_4_7_9";15
"2019";"5";"1_2_4_7_9";18
"2015";"5";"1_2_4_8_9";19
"2016";"5";"1_2_4_8_9";19
"2017";"5";"1_2_4_8_9";17
