"year";"n.plots";"coexisting.sp";"se.sp";"sd.sp";"max.sp";"min.sp";"fit.type";"area"
2015;"1";12,6666666666667;1,64991582276861;4,94974746830583;19;6;"richness";72,25
2015;"2";16,6111111111111;0,518357873829994;3,11014724297996;19;7;"richness";144,5
2015;"3";17,9404761904762;0,159199797679634;1,45909024697716;19;8;"richness";216,75
2015;"4";18,3730158730159;0,0593447040833998;0,666142651198699;19;15;"richness";289
2015;"5";18,547619047619;0,0459221464809188;0,515474815790535;19;17;"richness";361,25
2015;"6";18,6666666666667;0,0517433683804222;0,474235804630538;19;18;"richness";433,5
2015;"7";18,7777777777778;0,0702728368926307;0,421637021355784;19;18;"richness";505,75
2015;"8";18,8888888888889;0,111111111111111;0,333333333333333;19;18;"richness";578
2015;"9";19;NA;NA;19;19;"richness";650,25
2016;"1";12,7777777777778;0,74120355911813;2,22361067735439;15;10;"richness";72,25
2016;"2";15,5;0,334521691232066;2,0071301473924;18;11;"richness";144,5
2016;"3";16,8214285714286;0,171189951539911;1,56898182229493;19;11;"richness";216,75
2016;"4";17,6507936507937;0,108856953065886;1,22191626762204;19;14;"richness";289
2016;"5";18,1904761904762;0,0810363709949815;0,909631008392178;19;14;"richness";361,25
2016;"6";18,5357142857143;0,0686866143860652;0,629523219308773;19;15;"richness";433,5
2016;"7";18,75;0,07319250547114;0,43915503282684;19;18;"richness";505,75
2016;"8";18,8888888888889;0,111111111111111;0,333333333333333;19;18;"richness";578
2016;"9";19;NA;NA;19;19;"richness";650,25
2017;"1";10;1,46249406456535;4,38748219369606;14;1;"richness";72,25
2017;"2";13,5;0,446325384900242;2,67795230940145;17;6;"richness";144,5
2017;"3";15,0357142857143;0,21586955311477;1,97847713476944;17;8;"richness";216,75
2017;"4";15,8730158730159;0,127980220190032;1,43657440870497;17;11;"richness";289
2017;"5";16,3492063492063;0,0867892615092921;0,974207044256694;17;12;"richness";361,25
2017;"6";16,6190476190476;0,0675460402784948;0,619069684941477;17;13;"richness";433,5
2017;"7";16,7777777777778;0,0702728368926307;0,421637021355784;17;16;"richness";505,75
2017;"8";16,8888888888889;0,111111111111111;0,333333333333333;17;16;"richness";578
2017;"9";17;NA;NA;17;17;"richness";650,25
2018;"1";5,44444444444444;1,50102845401181;4,50308536203543;13;0;"richness";72,25
2018;"2";8,33333333333333;0,610750254208603;3,66450152525162;15;0;"richness";144,5
2018;"3";10,0595238095238;0,338040992634244;3,09819687348886;16;1;"richness";216,75
2018;"4";11,3015873015873;0,253300709997148;2,84329341790774;16;5;"richness";289
2018;"5";12,3492063492063;0,237798757207016;2,66928442940788;16;6;"richness";361,25
2018;"6";13,3095238095238;0,2672484637698;2,44937262917154;16;8;"richness";433,5
2018;"7";14,2222222222222;0,35659570079736;2,13957420478416;16;9;"richness";505,75
2018;"8";15,1111111111111;0,56382730917179;1,69148192751537;16;11;"richness";578
2018;"9";16;NA;NA;16;16;"richness";650,25
2019;"1";11,4444444444444;1,0423146132941;3,12694383988229;16;8;"richness";72,25
2019;"2";14,4722222222222;0,355201957110454;2,13121174266273;17;9;"richness";144,5
2019;"3";16;0,151489070931171;1,38842026900125;18;12;"richness";216,75
2019;"4";16,8174603174603;0,0823471502968108;0,924344469563538;18;13;"richness";289
2019;"5";17,2777777777778;0,0603049276871382;0,676921134418347;18;15;"richness";361,25
2019;"6";17,5595238095238;0,0595238095238095;0,545544725589981;18;16;"richness";433,5
2019;"7";17,75;0,07319250547114;0,43915503282684;18;17;"richness";505,75
2019;"8";17,8888888888889;0,111111111111111;0,333333333333333;18;17;"richness";578
2019;"9";18;NA;NA;18;18;"richness";650,25
2015;"1";5;0,886405260427918;2,50713268211203;9;2;"homogeneous";72,25
2015;"2";7,30520833333333;0,453714108018999;2,722284648114;13;2;"homogeneous";144,5
2015;"3";9,3328869047619;0,26709010535725;2,44792125034666;15;2;"homogeneous";216,75
2015;"4";10,8483134920635;0,190275090808113;2,13583259712378;15;5;"homogeneous";289
2015;"5";12,0105158730159;0,162595174369177;1,82512630569669;15;5;"homogeneous";361,25
2015;"6";12,9159226190476;0,164111311475099;1,50410501446623;15;7;"homogeneous";433,5
2015;"7";13,6260416666667;0,192703185259422;1,15621911155653;15;10;"homogeneous";505,75
2015;"8";14,1791666666667;0,259372908291432;0,778118724874295;15;11;"homogeneous";578
2015;"9";14,6;NA;NA;15;14;"homogeneous";650,25
2016;"1";6,77777777777778;0,74120355911813;2,22361067735439;10;4;"homogeneous";72,25
2016;"2";10,087962962963;0,380782061610119;2,28469236966071;13;5;"homogeneous";144,5
2016;"3";12,1329365079365;0,218209304527847;1,99992131068506;15;6;"homogeneous";216,75
2016;"4";13,5224867724868;0,139200959556525;1,56252689571208;16;6;"homogeneous";289
2016;"5";14,494708994709;0,101738616364391;1,14201313631996;16;8;"homogeneous";361,25
2016;"6";15,1706349206349;0,0890077162137122;0,815769193968968;16;12;"homogeneous";433,5
2016;"7";15,6203703703704;0,0947499985134723;0,568499991080833;16;14;"homogeneous";505,75
2016;"8";15,8888888888889;0,111111111111111;0,333333333333333;16;15;"homogeneous";578
2016;"9";16;NA;NA;16;16;"homogeneous";650,25
2017;"1";5,85714285714286;0,828899770739486;2,19306265517513;9;2;"homogeneous";72,25
2017;"2";8,17142857142857;0,462884115823683;2,73845935954243;13;2;"homogeneous";144,5
2017;"3";10,4345238095238;0,277629782584486;2,54451898773508;15;2;"homogeneous";216,75
2017;"4";12,2460317460317;0,180629062309108;2,02755619576478;16;6;"homogeneous";289
2017;"5";13,5555555555556;0,138841261675204;1,55848929700813;16;9;"homogeneous";361,25
2017;"6";14,5;0,125035852574952;1,14597251801611;16;11;"homogeneous";433,5
2017;"7";15,1805555555556;0,129334035616923;0,776004213701536;16;12;"homogeneous";505,75
2017;"8";15,6666666666667;0,144337567297406;0,433012701892219;16;15;"homogeneous";578
2017;"9";16;NA;NA;16;16;"homogeneous";650,25
2018;"1";4;0,408248290463863;0,816496580927726;5;3;"homogeneous";72,25
2018;"2";4,38461538461539;0,206262887350645;1,05173848753093;7;3;"homogeneous";144,5
2018;"3";4,81081081081081;0,140641250618966;1,209841783788;7;3;"homogeneous";216,75
2018;"4";5,26446280991736;0,114553027071315;1,26008329778446;7;3;"homogeneous";289
2018;"5";5,72;0,107823033029186;1,20549815696732;7;3;"homogeneous";361,25
2018;"6";6,14285714285714;0,115981749636174;1,06299029388237;7;3;"homogeneous";433,5
2018;"7";6,5;0,145023260312772;0,870139561876632;7;4;"homogeneous";505,75
2018;"8";6,77777777777778;0,222222222222222;0,666666666666667;7;5;"homogeneous";578
2018;"9";7;NA;NA;7;7;"homogeneous";650,25
2019;"1";5,55555555555556;0,944444444444445;2,83333333333333;11;3;"homogeneous";72,25
2019;"2";9,02025462962963;0,52998018832918;3,17988112997508;14;3;"homogeneous";144,5
2019;"3";11,3665674603175;0,332745480341883;3,04966270164224;17;3;"homogeneous";216,75
2019;"4";13,0753968253968;0,238778797207727;2,68028535113186;17;5;"homogeneous";289
2019;"5";14,3729332010582;0,194999244639743;2,1888610923649;17;5;"homogeneous";361,25
2019;"6";15,366443452381;0,179808828376543;1,64797513331367;17;8;"homogeneous";433,5
2019;"7";16,1128472222222;0,185137926964362;1,11082756178617;17;11;"homogeneous";505,75
2019;"8";16,6481481481481;0,207882743177101;0,623648229531304;17;15;"homogeneous";578
2019;"9";17;NA;NA;17;17;"homogeneous";650,25
2015;"1";8,11111111111111;1,88152158020846;8,11111111111111;16;0;"heterogeneous";72,25
2015;"2";12,1111111111111;0,679376205219682;12,1111111111111;16;2;"heterogeneous";144,5
2015;"3";14,1428571428571;0,288497630344742;14,1428571428571;16;4;"heterogeneous";216,75
2015;"4";15,1825396825397;0,140475742085196;15,1825396825397;16;9;"heterogeneous";289
2015;"5";15,6984126984127;0,0758192012115717;15,6984126984127;16;11;"heterogeneous";361,25
2015;"6";15,9285714285714;0,0370518325045238;15,9285714285714;16;14;"heterogeneous";433,5
2015;"7";16;0;16;16;16;"heterogeneous";505,75
2015;"8";16;0;16;16;16;"heterogeneous";578
2015;"9";16;NA;16;16;16;"heterogeneous";650,25
2016;"1";9,44444444444444;0,689426313666159;9,44444444444444;12;6;"heterogeneous";72,25
2016;"2";12,0277777777778;0,288636947527433;12,0277777777778;15;9;"heterogeneous";144,5
2016;"3";13,297619047619;0,157777669074267;13,297619047619;16;9;"heterogeneous";216,75
2016;"4";14,1269841269841;0,105700461463231;14,1269841269841;16;10;"heterogeneous";289
2016;"5";14,7142857142857;0,0849703162788399;14,7142857142857;16;11;"heterogeneous";361,25
2016;"6";15,1547619047619;0,0838236538185126;15,1547619047619;16;13;"heterogeneous";433,5
2016;"7";15,5;0,101574900036674;15,5;16;14;"heterogeneous";505,75
2016;"8";15,7777777777778;0,146986183948033;15,7777777777778;16;15;"heterogeneous";578
2016;"9";16;NA;16;16;16;"heterogeneous";650,25
2017;"1";6,44444444444444;1,67590034766648;6,44444444444444;14;0;"heterogeneous";72,25
2017;"2";10,0277777777778;0,652815770593126;10,0277777777778;16;0;"heterogeneous";144,5
2017;"3";12,1547619047619;0,318889913155451;12,1547619047619;16;2;"heterogeneous";216,75
2017;"4";13,531746031746;0,19894531686634;13,531746031746;16;6;"heterogeneous";289
2017;"5";14,484126984127;0,152329687143662;14,484126984127;16;9;"heterogeneous";361,25
2017;"6";15,1547619047619;0,136017918838955;15,1547619047619;16;11;"heterogeneous";433,5
2017;"7";15,6111111111111;0,133795495319914;15,6111111111111;16;12;"heterogeneous";505,75
2017;"8";15,8888888888889;0,111111111111111;15,8888888888889;16;15;"heterogeneous";578
2017;"9";16;NA;16;16;16;"heterogeneous";650,25
2018;"1";2,66666666666667;1,14260910006684;2,66666666666667;8;0;"heterogeneous";72,25
2018;"2";4,58333333333333;0,543905629069357;4,58333333333333;8;0;"heterogeneous";144,5
2018;"3";5,90476190476191;0,290220724169614;5,90476190476191;8;0;"heterogeneous";216,75
2018;"4";6,76984126984127;0,171700255026647;6,76984126984127;8;0;"heterogeneous";289
2018;"5";7,3015873015873;0,110565554077892;7,3015873015873;8;0;"heterogeneous";361,25
2018;"6";7,60714285714286;0,0776480451555753;7,60714285714286;8;3;"heterogeneous";433,5
2018;"7";7,77777777777778;0,0702728368926307;7,77777777777778;8;7;"heterogeneous";505,75
2018;"8";7,88888888888889;0,111111111111111;7,88888888888889;8;7;"heterogeneous";578
2018;"9";8;NA;8;8;8;"heterogeneous";650,25
2019;"1";8;1,3228756555323;8;15;3;"heterogeneous";72,25
2019;"2";11,1111111111111;0,567335428592429;11,1111111111111;16;3;"heterogeneous";144,5
2019;"3";12,9880952380952;0,298924275040623;12,9880952380952;17;6;"heterogeneous";216,75
2019;"4";14,2460317460317;0,191795694188889;14,2460317460317;17;7;"heterogeneous";289
2019;"5";15,1349206349206;0,145777902217745;15,1349206349206;17;9;"heterogeneous";361,25
2019;"6";15,7857142857143;0,13017423842607;15,7857142857143;17;11;"heterogeneous";433,5
2019;"7";16,2777777777778;0,135758370264974;16,2777777777778;17;13;"heterogeneous";505,75
2019;"8";16,6666666666667;0,166666666666667;16,6666666666667;17;16;"heterogeneous";578
2019;"9";17;NA;17;17;17;"heterogeneous";650,25
